丢三拉四	→丢三落四〔草案〕
掉换	→调换〔草案〕
东不拉	→冬不拉〔草案〕
遁辞	→遁词〔草案〕
哆唆	→哆嗦〔草案〕
峨嵋山	→峨眉山〔草案〕
发楞	→发愣〔草案〕
翻然醒悟	→幡然醒悟〔草案〕
反覆	→反复〔草案〕
忿恨	→愤恨〔草案〕
忿怒	→愤怒〔草案〕
夫倡妇随	→夫唱妇随〔草案〕
浮图	→浮屠〔草案〕
辐凑	→辐辏〔草案〕
福份	→福分〔草案〕
俯首贴耳	→俯首帖耳〔草案〕
赋与	→赋予〔草案〕
夹肢窝	→胳肢窝〔草案〕
干嘛	→干吗〔草案〕
格登	→咯噔〔草案〕
根柢	→根底〔草案〕
梗咽	→哽咽〔草案〕
宫庭	→宫廷〔草案〕
钩勒	→勾勒〔草案〕
勾针	→钩针〔草案〕
够戗	→够呛〔草案〕
孤另另	→孤零零〔草案〕
孤伶伶	→孤零零〔草案〕
轱轳	→轱辘〔草案〕
毂辘	→轱辘〔草案〕
固步自封	→故步自封〔草案〕
故技	→故伎〔草案〕
锢疾	→痼疾〔草案〕
固疾	→痼疾〔草案〕
刮刮叫	→呱呱叫〔草案〕
呵腰	→哈腰〔草案〕
寒颤	→寒战〔草案〕
嚎啕	→号啕〔草案〕
号咷	→号啕〔草案〕
嚎咷	→号啕〔草案〕
好高务远	→好高骛远〔草案〕
和事老	→和事佬〔草案〕
贺辞	→贺词〔草案〕
黑鼓隆咚	→黑咕隆咚〔草案〕
黑古龙冬	→黑咕隆咚〔草案〕
黑鸦鸦	→黑压压〔草案〕
轰堂大笑	→哄堂大笑〔草案〕
轰笑	→哄笑〔草案〕
宏亮	→洪亮〔草案〕
呼嗤	→呼哧〔草案〕
呼蚩	→呼哧〔草案〕
呼吃	→呼哧〔草案〕
花狸狐哨	→花里胡哨〔草案〕
花梢	→花哨〔草案〕
花稍	→花哨〔草案〕
花消	→花销〔草案〕
黄历	→皇历〔草案〕
混身	→浑身〔草案〕
浑沌	→混沌〔草案〕
辑逸	→辑佚〔草案〕
给与	→给予〔草案〕
记录片	→纪录片〔草案〕
记要	→纪要〔草案〕
趼子	→茧子〔草案〕
交待	→交代〔草案〕
脚鸭子	→脚丫子〔草案〕
脚指	→脚趾〔草案〕
叫真	→较真〔草案〕
菁华	→精华〔草案〕
警省	→警醒〔草案〕
酒钟	→酒盅〔草案〕
倔犟	→倔强〔草案〕
开消	→开销〔草案〕
砍大山	→侃大山〔草案〕
看做	→看作〔草案〕
夸大其辞	→夸大其词〔草案〕
宽洪大量	→宽宏大量〔草案〕
老趼	→老茧〔草案〕
乐和和	→乐呵呵〔草案〕
乐孜孜	→乐滋滋〔草案〕
伶牙利齿	→伶牙俐齿〔草案〕
流言飞语	→流言蜚语〔草案〕
蹓弯儿	→遛弯儿〔草案〕
乱烘烘	→乱哄哄〔草案〕
罗纹	→螺纹〔草案〕
慢道	→漫道〔草案〕
慢说	→漫说〔草案〕
毛骨耸然	→毛骨悚然〔草案〕
毛骨竦然	→毛骨悚然〔草案〕
冒然	→贸然〔草案〕
棉子	→棉籽〔草案〕
藐小	→渺小〔草案〕
渺视	→藐视〔草案〕
渺远	→邈远〔草案〕
溟溟	→冥冥〔草案〕
摸棱两可	→模棱两可〔草案〕
秣马利兵	→秣马厉兵〔草案〕
秣马砺兵	→秣马厉兵〔草案〕
木犀	→木樨〔草案〕
闹轰轰	→闹哄哄〔草案〕
闹烘烘	→闹哄哄〔草案〕
